inputs_pretokenized,targets_pretokenized,dataset
"Identify the character left after removing '2', '1', '6', '8' from '12j68'.",j,dataset1
"Identify the character left after removing '2', '7', '5', '8' from '278l5'.",l,dataset1
"Identify the character left after removing '3', '0', '5', '9' from 'g3509'.",g,dataset1
"Identify the character left after removing '5', '0', '6', '4' from '546c0'.",c,dataset1
"Identify the character left after removing '3', '6', '0', '4' from 'a0346'.",a,dataset1
"Identify the character left after removing '6', '3', '8', '9' from '6839h'.",h,dataset1
"Identify the character left after removing '4', '3', '9', '5' from '953m4'.",m,dataset1
"Identify the character left after removing '6', '0', '3', '8' from '30e86'.",e,dataset1
"Identify the character left after removing '7', '8', '1', '3' from '7138b'.",b,dataset1
"Identify the character left after removing '7', '2', '6', '0' from '276c0'.",c,dataset1
"Identify the character left after removing '1', '0', '8', '6' from '1608d'.",d,dataset1
"Identify the character left after removing '5', '1', '3', '7' from '31m75'.",m,dataset1
"Identify the character left after removing '3', '7', '0', '1' from '0371b'.",b,dataset1
"Identify the character left after removing '1', '4', '6', '8' from '184a6'.",a,dataset1
"Identify the character left after removing '0', '7', '8', '1' from '71g08'.",g,dataset1
"Identify the character left after removing '5', '0', '1', '3' from '03d15'.",d,dataset1
"Identify the character left after removing '0', '4', '8', '3' from '0438b'.",b,dataset1
"Identify the character left after removing '1', '5', '9', '7' from '59f71'.",f,dataset1
"Identify the character left after removing '6', '3', '5', '8' from '58d63'.",d,dataset1
"Identify the character left after removing '6', '2', '9', '3' from '369b2'.",b,dataset1
"Identify the character left after removing '1', '7', '5', '0' from '10j75'.",j,dataset1
"Identify the character left after removing '2', '9', '4', '1' from 'g9241'.",g,dataset1
"Identify the character left after removing '8', '7', '2', '0' from '270i8'.",i,dataset1
"Identify the character left after removing '0', '3', '6', '7' from 'b7603'.",b,dataset1
"Identify the character left after removing '0', '8', '9', '7' from '987f0'.",f,dataset1
"Identify the character left after removing '8', '2', '4', '9' from '4289j'.",j,dataset1
"Identify the character left after removing '4', '7', '0', '1' from '71k04'.",k,dataset1
"Identify the character left after removing '1', '7', '0', '6' from '176e0'.",e,dataset1
"Identify the character left after removing '2', '5', '8', '1' from '5182f'.",f,dataset1
"Identify the character left after removing '5', '4', '0', '7' from '4h750'.",h,dataset1
"Identify the character left after removing '8', '4', '2', '9' from '8492f'.",f,dataset1
"Identify the character left after removing '9', '6', '1', '0' from 'd1690'.",d,dataset1
"Identify the character left after removing '5', '6', '1', '7' from '7651k'.",k,dataset1
"Identify the character left after removing '6', '7', '9', '2' from '2e679'.",e,dataset1
"Identify the character left after removing '9', '2', '5', '3' from '3529d'.",d,dataset1
"Identify the character left after removing '0', '2', '5', '7' from '750b2'.",b,dataset1
"Identify the character left after removing '2', '5', '8', '1' from '5812i'.",i,dataset1
"Identify the character left after removing '9', '1', '8', '6' from '189f6'.",f,dataset1
"Identify the character left after removing '1', '0', '5', '8' from '810j5'.",j,dataset1
"Identify the character left after removing '9', '5', '7', '2' from 'a9725'.",a,dataset1
"Identify the character left after removing '8', '4', '3', '0' from 'd3804'.",d,dataset1
"Identify the character left after removing '9', '1', '0', '2' from '1d920'.",d,dataset1
"Identify the character left after removing '3', '6', '9', '7' from '7c936'.",c,dataset1
"Identify the character left after removing '3', '5', '7', '8' from '3857b'.",b,dataset1
"Identify the character left after removing '1', '9', '8', '5' from '5g189'.",g,dataset1
"Identify the character left after removing '7', '3', '4', '8' from '37a48'.",a,dataset1
"Identify the character left after removing '1', '4', '5', '2' from '2e145'.",e,dataset1
"Identify the character left after removing '8', '5', '7', '4' from '4587e'.",e,dataset1
"Identify the character left after removing '8', '9', '0', '5' from '805a9'.",a,dataset1
"Identify the character left after removing '2', '4', '8', '3' from '4m832'.",m,dataset1
"Identify the character left after removing '1', '4', '3', '5' from '4135d'.",d,dataset1
"Identify the character left after removing '8', '3', '4', '7' from '4387a'.",a,dataset1
"Identify the character left after removing '6', '4', '2', '5' from 'h5462'.",h,dataset1
"Identify the character left after removing '1', '3', '8', '5' from '5i318'.",i,dataset1
"Identify the character left after removing '7', '8', '1', '4' from '1478k'.",k,dataset1
"Identify the character left after removing '8', '7', '4', '9' from '7894c'.",c,dataset1
"Identify the character left after removing '4', '8', '1', '0' from '401l8'.",l,dataset1
"Identify the character left after removing '7', '8', '1', '9' from '8g179'.",g,dataset1
"Identify the character left after removing '8', '5', '3', '6' from '5368j'.",j,dataset1
"Identify the character left after removing '8', '1', '4', '3' from '48k13'.",k,dataset1
"Identify the character left after removing '7', '0', '1', '2' from '1207g'.",g,dataset1
"Identify the character left after removing '6', '2', '4', '7' from 'm6724'.",m,dataset1
"Identify the character left after removing '3', '2', '7', '9' from '932h7'.",h,dataset1
"Identify the character left after removing '3', '5', '1', '8' from '8m513'.",m,dataset1
"Identify the character left after removing '5', '7', '4', '0' from '5g074'.",g,dataset1
"Identify the character left after removing '6', '3', '8', '7' from '76g83'.",g,dataset1
"Identify the character left after removing '3', '5', '7', '9' from 'f3597'.",f,dataset1
"Identify the character left after removing '2', '4', '5', '8' from '84j52'.",j,dataset1
"Identify the character left after removing '4', '9', '2', '1' from '94h21'.",h,dataset1
"Identify the character left after removing '4', '9', '5', '0' from 'c5094'.",c,dataset1
"Identify the character left after removing '0', '2', '1', '3' from 'k1203'.",k,dataset1
"Identify the character left after removing '3', '7', '4', '0' from '0e743'.",e,dataset1
"Identify the character left after removing '6', '5', '8', '9' from '8659i'.",i,dataset1
"Identify the character left after removing '1', '7', '0', '6' from '6m710'.",m,dataset1
"Identify the character left after removing '1', '3', '2', '4' from '412k3'.",k,dataset1
"Identify the character left after removing '5', '4', '2', '7' from '2457m'.",m,dataset1
"Identify the character left after removing '1', '0', '7', '5' from '7510i'.",i,dataset1
"Identify the character left after removing '5', '7', '3', '4' from '453f7'.",f,dataset1
"Identify the character left after removing '5', '3', '1', '8' from '53k81'.",k,dataset1
"Identify the character left after removing '2', '6', '0', '9' from '0e692'.",e,dataset1
"Identify the character left after removing '4', '6', '8', '3' from '8463k'.",k,dataset1
"Identify the character left after removing '5', '8', '0', '2' from '5208m'.",m,dataset1
"Identify the character left after removing '6', '3', '4', '7' from '7d634'.",d,dataset1
"Identify the character left after removing '6', '1', '3', '9' from '619c3'.",c,dataset1
"Identify the character left after removing '2', '1', '3', '9' from '3k291'.",k,dataset1
"Identify the character left after removing '7', '2', '5', '3' from '72a35'.",a,dataset1
"Identify the character left after removing '6', '3', '9', '2' from '3a269'.",a,dataset1
"Identify the character left after removing '5', '1', '0', '2' from '2105k'.",k,dataset1
"Identify the character left after removing '7', '6', '9', '4' from '9h476'.",h,dataset1
"Identify the character left after removing '2', '4', '6', '3' from '43l62'.",l,dataset1
"Identify the character left after removing '5', '9', '7', '4' from '9745h'.",h,dataset1
"Identify the character left after removing '3', '6', '8', '9' from 'b3986'.",b,dataset1
"Identify the character left after removing '1', '8', '3', '2' from '318e2'.",e,dataset1
"Identify the character left after removing '2', '8', '7', '9' from '8927k'.",k,dataset1
"Identify the character left after removing '3', '1', '4', '9' from '1943j'.",j,dataset1
"Identify the character left after removing '0', '3', '5', '8' from '053i8'.",i,dataset1
"Identify the character left after removing '5', '8', '7', '3' from '358i7'.",i,dataset1
"Identify the character left after removing '0', '1', '3', '4' from '3f104'.",f,dataset1
"Identify the character left after removing '6', '7', '2', '1' from '27516'.",5,dataset2
"Identify the character left after removing '5', '0', '3', '7' from '95730'.",9,dataset2
"Identify the character left after removing '0', '7', '8', '2' from '02718'.",1,dataset2
"Identify the character left after removing '9', '8', '3', '0' from '89320'.",2,dataset2
"Identify the character left after removing '2', '8', '7', '4' from '28574'.",5,dataset2
"Identify the character left after removing '3', '5', '1', '9' from '19503'.",0,dataset2
"Identify the character left after removing '6', '7', '8', '1' from '80761'.",0,dataset2
"Identify the character left after removing '1', '2', '5', '3' from '31529'.",9,dataset2
"Identify the character left after removing '6', '5', '2', '4' from '26584'.",8,dataset2
"Identify the character left after removing '0', '3', '5', '8' from '54083'.",4,dataset2
"Identify the character left after removing '2', '7', '5', '0' from '92507'.",9,dataset2
"Identify the character left after removing '1', '6', '4', '9' from '04169'.",0,dataset2
"Identify the character left after removing '6', '0', '7', '8' from '01786'.",1,dataset2
"Identify the character left after removing '7', '5', '9', '3' from '53769'.",6,dataset2
"Identify the character left after removing '0', '6', '8', '2' from '56028'.",5,dataset2
"Identify the character left after removing '3', '7', '4', '5' from '45783'.",8,dataset2
"Identify the character left after removing '2', '1', '6', '4' from '24156'.",5,dataset2
"Identify the character left after removing '2', '3', '8', '7' from '73862'.",6,dataset2
"Identify the character left after removing '9', '4', '1', '3' from '31094'.",0,dataset2
"Identify the character left after removing '0', '3', '2', '7' from '28370'.",8,dataset2
"Identify the character left after removing '7', '4', '5', '1' from '81754'.",8,dataset2
"Identify the character left after removing '6', '9', '7', '4' from '64798'.",8,dataset2
"Identify the character left after removing '8', '6', '7', '0' from '70865'.",5,dataset2
"Identify the character left after removing '5', '7', '4', '0' from '47580'.",8,dataset2
"Identify the character left after removing '4', '1', '6', '2' from '16492'.",9,dataset2
"Identify the character left after removing '7', '5', '2', '9' from '62975'.",6,dataset2
"Identify the character left after removing '8', '9', '4', '7' from '83479'.",3,dataset2
"Identify the character left after removing '4', '5', '3', '1' from '53124'.",2,dataset2
"Identify the character left after removing '5', '7', '2', '9' from '71259'.",1,dataset2
"Identify the character left after removing '9', '0', '6', '2' from '06529'.",5,dataset2
"Identify the character left after removing '6', '1', '4', '5' from '15764'.",7,dataset2
"Identify the character left after removing '9', '5', '7', '4' from '74895'.",8,dataset2
"Identify the character left after removing '8', '4', '0', '9' from '59840'.",5,dataset2
"Identify the character left after removing '8', '4', '5', '9' from '49058'.",0,dataset2
"Identify the character left after removing '7', '6', '3', '9' from '63759'.",5,dataset2
"Identify the character left after removing '5', '4', '2', '6' from '46259'.",9,dataset2
"Identify the character left after removing '1', '8', '0', '5' from '16580'.",6,dataset2
"Identify the character left after removing '5', '6', '1', '7' from '57461'.",4,dataset2
"Identify the character left after removing '6', '7', '5', '0' from '61057'.",1,dataset2
"Identify the character left after removing '4', '1', '2', '3' from '61234'.",6,dataset2
"Identify the character left after removing '9', '1', '0', '4' from '19407'.",7,dataset2
"Identify the character left after removing '1', '4', '2', '0' from '21704'.",7,dataset2
"Identify the character left after removing '5', '8', '4', '1' from '85941'.",9,dataset2
"Identify the character left after removing '0', '7', '1', '4' from '08741'.",8,dataset2
"Identify the character left after removing '2', '7', '5', '1' from '15782'.",8,dataset2
"Identify the character left after removing '0', '9', '4', '6' from '46093'.",3,dataset2
"Identify the character left after removing '0', '1', '6', '4' from '41906'.",9,dataset2
"Identify the character left after removing '4', '8', '1', '9' from '14289'.",2,dataset2
"Identify the character left after removing '2', '7', '0', '9' from '07239'.",3,dataset2
"Identify the character left after removing '0', '7', '8', '9' from '70986'.",6,dataset2
"Identify the character left after removing '0', '6', '9', '2' from '96240'.",4,dataset2
"Identify the character left after removing '2', '9', '6', '8' from '18296'.",1,dataset2
"Identify the character left after removing '3', '6', '9', '2' from '63209'.",0,dataset2
"Identify the character left after removing '9', '3', '1', '7' from '19237'.",2,dataset2
"Identify the character left after removing '3', '5', '4', '2' from '24735'.",7,dataset2
"Identify the character left after removing '3', '9', '6', '0' from '16903'.",1,dataset2
"Identify the character left after removing '3', '4', '1', '0' from '35104'.",5,dataset2
"Identify the character left after removing '3', '2', '7', '1' from '37812'.",8,dataset2
"Identify the character left after removing '3', '5', '7', '1' from '17935'.",9,dataset2
"Identify the character left after removing '8', '4', '6', '3' from '48136'.",1,dataset2
"Identify the character left after removing '2', '4', '3', '0' from '80234'.",8,dataset2
"Identify the character left after removing '0', '9', '6', '8' from '69801'.",1,dataset2
"Identify the character left after removing '7', '4', '2', '9' from '21947'.",1,dataset2
"Identify the character left after removing '5', '9', '3', '2' from '92513'.",1,dataset2
"Identify the character left after removing '6', '1', '7', '5' from '46157'.",4,dataset2
"Identify the character left after removing '2', '7', '5', '9' from '75392'.",3,dataset2
"Identify the character left after removing '6', '9', '7', '2' from '69237'.",3,dataset2
"Identify the character left after removing '2', '4', '6', '5' from '56243'.",3,dataset2
"Identify the character left after removing '0', '2', '1', '8' from '08621'.",6,dataset2
"Identify the character left after removing '9', '7', '5', '8' from '59870'.",0,dataset2
"Identify the character left after removing '1', '4', '7', '5' from '59147'.",9,dataset2
"Identify the character left after removing '4', '1', '5', '6' from '14562'.",2,dataset2
"Identify the character left after removing '6', '9', '0', '4' from '46109'.",1,dataset2
"Identify the character left after removing '6', '4', '1', '7' from '46731'.",3,dataset2
"Identify the character left after removing '7', '9', '8', '4' from '78649'.",6,dataset2
"Identify the character left after removing '4', '7', '1', '8' from '94871'.",9,dataset2
"Identify the character left after removing '1', '0', '2', '7' from '10372'.",3,dataset2
"Identify the character left after removing '6', '7', '4', '1' from '46817'.",8,dataset2
"Identify the character left after removing '4', '1', '3', '5' from '43251'.",2,dataset2
"Identify the character left after removing '6', '7', '0', '4' from '40726'.",2,dataset2
"Identify the character left after removing '0', '4', '9', '5' from '49085'.",8,dataset2
"Identify the character left after removing '1', '5', '0', '2' from '10254'.",4,dataset2
"Identify the character left after removing '5', '8', '6', '2' from '82365'.",3,dataset2
"Identify the character left after removing '5', '0', '9', '8' from '25809'.",2,dataset2
"Identify the character left after removing '6', '4', '5', '9' from '62945'.",2,dataset2
"Identify the character left after removing '6', '2', '0', '4' from '62047'.",7,dataset2
"Identify the character left after removing '7', '9', '0', '2' from '02947'.",4,dataset2
"Identify the character left after removing '6', '1', '7', '9' from '96731'.",3,dataset2
"Identify the character left after removing '3', '9', '0', '8' from '80935'.",5,dataset2
"Identify the character left after removing '8', '9', '2', '5' from '93582'.",3,dataset2
"Identify the character left after removing '1', '8', '9', '0' from '19087'.",7,dataset2
"Identify the character left after removing '0', '9', '1', '7' from '30719'.",3,dataset2
"Identify the character left after removing '7', '4', '5', '3' from '75143'.",1,dataset2
"Identify the character left after removing '7', '3', '0', '2' from '02673'.",6,dataset2
"Identify the character left after removing '5', '1', '8', '0' from '35081'.",3,dataset2
"Identify the character left after removing '7', '9', '4', '0' from '39047'.",3,dataset2
"Identify the character left after removing '7', '3', '5', '2' from '93752'.",9,dataset2
"Identify the character left after removing '5', '3', '9', '1' from '19753'.",7,dataset2
"Identify the character left after removing '7', '5', '1', '4' from '74105'.",0,dataset2
"Identify the character left after removing '6', '5', '0', '2' from '01625'.",1,dataset2
"Identify the character left after removing '8', '6', '1', '7' from '67081'.",0,dataset2
"Identify the character left after removing '3', '7', '9', '6' from '93167'.",1,dataset2
"Identify the character left after removing '6', '8', '4', '3' from '73684'.",7,dataset2
"Identify the character left after removing '7', '9', '6', '1' from '76912'.",2,dataset2
"Identify the character left after removing '4', '2', '9', '5' from '29345'.",3,dataset2
"Identify the character left after removing '4', '1', '6', '8' from '68491'.",9,dataset2
"Identify the character left after removing '7', '1', '3', '6' from '63175'.",5,dataset2
"Identify the character left after removing '5', '2', '3', '0' from '20953'.",9,dataset2
"Identify the character left after removing '5', '6', '0', '2' from '05629'.",9,dataset2
"Identify the character left after removing '1', '5', '4', '9' from '54619'.",6,dataset2
"Identify the character left after removing '9', '0', '4', '6' from '64970'.",7,dataset2
"Identify the character left after removing '0', '4', '2', '6' from '04632'.",3,dataset2
"Identify the character left after removing '3', '8', '2', '1' from '02813'.",0,dataset2
"Identify the character left after removing '3', '4', '0', '1' from '12043'.",2,dataset2
"Identify the character left after removing '4', '6', '0', '7' from '70643'.",3,dataset2
"Identify the character left after removing '2', '3', '7', '0' from '27830'.",8,dataset2
"Identify the character left after removing '6', '8', '2', '0' from '96208'.",9,dataset2
"Identify the character left after removing '6', '5', '3', '2' from '53286'.",8,dataset2
"Identify the character left after removing '8', '7', '1', '0' from '07198'.",9,dataset2
"Identify the character left after removing '1', '5', '2', '6' from '52601'.",0,dataset2
"Identify the character left after removing '8', '1', '6', '0' from '81906'.",9,dataset2
"Identify the character left after removing '6', '1', '4', '3' from '46013'.",0,dataset2
"Identify the character left after removing '3', '2', '9', '0' from '94230'.",4,dataset2
